HDR,ROLLING SYSTEM DEMAND
VD,20220918000000,19682
VD,20220918000500,19499
VD,20220918001000,19214
VD,20220918001500,19250
VD,20220918002000,19272
VD,20220918002500,19251
VD,20220918003000,19184
VD,20220918003500,19207
VD,20220918004000,19142
VD,20220918004500,18946
VD,20220918005000,19022
VD,20220918005500,19023
VD,20220918010000,18980
VD,20220918010500,18859
VD,20220918011000,18779
VD,20220918011500,18882
VD,20220918012000,18860
VD,20220918012500,18973
VD,20220918013000,19006
VD,20220918013500,18909
VD,20220918014000,18874
VD,20220918014500,18846
VD,20220918015000,18832
VD,20220918015500,18918
VD,20220918020000,18831
VD,20220918020500,18662
VD,20220918021000,18536
VD,20220918021500,18680
VD,20220918022000,18681
VD,20220918022500,18800
VD,20220918023000,19079
VD,20220918023500,19100
VD,20220918024000,18983
VD,20220918024500,18893
VD,20220918025000,18799
VD,20220918025500,18812
VD,20220918030000,18716
VD,20220918030500,18575
VD,20220918031000,18699
VD,20220918031500,18669
VD,20220918032000,18604
VD,20220918032500,18516
VD,20220918033000,18637
VD,20220918033500,18643
VD,20220918034000,18611
VD,20220918034500,18544
VD,20220918035000,18537
VD,20220918035500,18602
VD,20220918040000,18620
VD,20220918040500,18748
VD,20220918041000,18763
VD,20220918041500,18849
VD,20220918042000,18752
VD,20220918042500,18723
VD,20220918043000,18712
VD,20220918043500,18632
VD,20220918044000,18676
VD,20220918044500,18633
VD,20220918045000,18706
VD,20220918045500,18786
VD,20220918050000,18939
VD,20220918050500,19509
VD,20220918051000,19643
VD,20220918051500,19533
VD,20220918052000,19552
VD,20220918052500,19584
VD,20220918053000,19468
VD,20220918053500,19414
VD,20220918054000,19442
VD,20220918054500,19476
VD,20220918055000,19511
VD,20220918055500,19625
VD,20220918060000,19606
VD,20220918060500,19586
VD,20220918061000,19790
VD,20220918061500,19961
VD,20220918062000,20141
VD,20220918062500,20188
VD,20220918063000,20278
VD,20220918063500,20414
VD,20220918064000,20499
VD,20220918064500,20474
VD,20220918065000,20703
VD,20220918065500,20906
VD,20220918070000,21222
VD,20220918070500,21575
VD,20220918071000,21824
VD,20220918071500,21968
VD,20220918072000,22054
VD,20220918072500,22107
VD,20220918073000,22156
VD,20220918073500,22209
VD,20220918074000,22187
VD,20220918074500,22196
VD,20220918075000,22236
VD,20220918075500,22251
VD,20220918080000,22375
VD,20220918080500,22557
VD,20220918081000,22652
VD,20220918081500,22739
VD,20220918082000,22821
VD,20220918082500,22884
VD,20220918083000,22855
VD,20220918083500,22771
VD,20220918084000,22776
VD,20220918084500,22779
VD,20220918085000,22669
VD,20220918085500,22664
VD,20220918090000,22634
VD,20220918090500,22683
VD,20220918091000,22704
VD,20220918091500,22716
VD,20220918092000,22664
VD,20220918092500,22575
VD,20220918093000,22524
VD,20220918093500,22448
VD,20220918094000,22376
VD,20220918094500,22324
VD,20220918095000,22131
VD,20220918095500,22099
VD,20220918100000,21993
VD,20220918100500,22002
VD,20220918101000,22103
VD,20220918101500,22097
VD,20220918102000,22196
VD,20220918102500,22331
VD,20220918103000,22446
VD,20220918103500,22465
VD,20220918104000,22503
VD,20220918104500,22481
VD,20220918105000,22708
VD,20220918105500,22824
VD,20220918110000,22829
VD,20220918110500,22878
VD,20220918111000,23018
VD,20220918111500,23119
VD,20220918112000,23237
VD,20220918112500,23317
VD,20220918113000,23280
VD,20220918113500,23277
VD,20220918114000,23268
VD,20220918114500,23315
VD,20220918115000,23354
VD,20220918115500,23362
VD,20220918120000,23261
VD,20220918120500,23263
VD,20220918121000,23243
VD,20220918121500,23148
VD,20220918122000,23095
VD,20220918122500,23072
VD,20220918123000,23105
VD,20220918123500,23118
VD,20220918124000,23143
VD,20220918124500,23005
VD,20220918125000,22959
VD,20220918125500,22974
VD,20220918130000,23005
VD,20220918130500,23127
VD,20220918131000,23148
VD,20220918131500,23016
VD,20220918132000,22890
VD,20220918132500,22788
VD,20220918133000,22700
VD,20220918133500,22709
